id,url,parent_id, Status Code, Status, Indexability, Indexability Status, Title 1, Word Count, Hash, Response Time, Last Modified, Redirect URL, Redirect Type
oc136,/services/fraud,,200, OK, Indexable,,"Orange County,  California - Fraud,  Waste & Abuse ",1001, 6bc5639eddf608ca2c1a83b2413577fe,0.96,,, 
oc137,/about/emergency/assistance,,200, OK, Indexable,,"Orange County,  California - Getting Immediate Assistance ",361, 3a00d3c00dadeab5675919e6806a227c,1.63,,, 
oc138,/services/employment/cityjob,,200, OK, Indexable,,"Orange County,  California - Find a City Job ",376, abb2f2847745eab4018eedda74def0ec,1.31,,, 
oc139,/news/displaynews?NewsID=4471,,200, OK, Indexable,,"Orange County,  California - News Details ",912, 5f1b5f131d2711c2daff53b58caaf193,1.239,,, 
oc140,/residents/gov/laws,,200, OK, Indexable,,"Orange County,  California - Laws & Regulations ",236, 56a9c79c48f266899d4f3595078a130c,1.375,,, 
oc141,/about/infooc/photocontest17/summeroc_result,,200, OK, Indexable,,"Orange County,  California - ""Summer Orange County” Photo Contest Result ",337, da36c6fd0506247ba378d74e22a7292,1.146,,, 
oc142,/news/displaynews?NewsID=4503&TargetID=1,,200, OK, Indexable,,"Orange County,  California - News Details ",415, 615e9c7039bbbe49abb1181dbbf2832a,1.865,,, 
oc143,/about/infooc/news/press/details?NewsID=1086&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",758, 8343c82e4f37b8644dea925f3a753014,1.63,,, 
oc144,/about/infooc/news/press/details?NewsID=1044&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",295, ae93320a6700497312ee34aa06d3dc30,2.105,,, 
oc145,/about/infooc/news/press/details?NewsID=893&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",634, db31c11a42a692c2c1fec73d77654587,1.018,,, 
oc146,/about/infooc/news/press/details?NewsID=899&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",501, 9277e24a3b3f2eabec4f831ec1f5cef9,1.302,,, 
oc147,/about/infooc/news/press/details?NewsID=1084&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",405, 480107eaab6d2a61ad16b8108ad85888,1.44,,, 
oc148,/about/infooc/news/press/details?NewsID=1042&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",476, e59d2fffca86e132f4210ebfe065f524,1.426,,, 
oc149,/about/infooc/news/press/details?NewsID=927&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",427, 4904d07d3efcc597fd1ddfc332d80790,1.289,,, 
oc150,/about/infooc/news/press/details?NewsID=1022&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",572, 98da1a8150ab5eb53ed9689d2777f3d,1.241,,, 
oc151,/about/infooc/news/pub/bosbrochure,,200, OK, Indexable,,"Orange County,  California - Your Board of Supervisors ",228, d02f2b0d168708a59126ac999c53d2b5,1.384,,, 
oc152,/news/displaynews?NewsID=4502&TargetID=1,,200, OK, Indexable,,"Orange County,  California - News Details ",537, 4486155d0796d6965fbb6d2007f3ace0,1.131,,, 
oc153,/about/infooc/news/press/details?NewsID=1019&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",427, 2e52f6331b54b93591bb3df4d53676e,0.997,,, 
oc154,/news/displaynews?NewsID=4847&TargetID=1,,200, OK, Indexable,,"Orange County,  California - News Details ",366, 4d1a314cfe8300a223294705b176562a,0.98,,, 
oc155,/about/infooc/news/press/details?NewsID=1011&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",646, 7ed789750ffdc3935e3a76fbb144269,1.064,,, 
oc156,/about/infooc/news/press/details?NewsID=882&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",679, a98e448497ed8e7f7530937d4b910e6a,1.107,,, 
oc157,/about/infooc/news/press/details?NewsID=905&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",608, b48f3c7edac6898fe127dfe821726839,1.158,,, 
oc158,/about/infooc/news/press/details?NewsID=947&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",683, 802674b376847da26bf0e63817341cd6,1.18,,, 
oc159,/about/infooc/news/press/details?NewsID=958&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",480, cd6dbb641afb777a82e307eb625f2efb,1.275,,, 
oc160,/news/displaynews?NewsID=4523&TargetID=1,,200, OK, Indexable,,"Orange County,  California - News Details ",815, c6e79fcd5d0afd50c12abbb96b9d7504,1.294,,, 
oc161,/about/infooc/news/press/details?NewsID=916&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",793, 7875da2159503b4097dab5444668497a,1.319,,, 
oc162,/about/infooc/news/press/details?NewsID=975&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",508, 837b11eec38ec8f2064a4af43cebe32a,1.425,,, 
oc163,/about/infooc/news/press/details?NewsID=879&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",609, edb51a5d1679e86da4256c8d79370dd7,1.36,,, 
oc164,/about/infooc/news/press/details?NewsID=871&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",651, 90c44de586f9558e2487d3550793268,1.499,,, 
oc165,/about/infooc/news/press/details?NewsID=950&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",383, 50eabaa2f993abedac4136147646ac4c,1.465,,, 
oc166,/about/infooc/news/press/details?NewsID=967&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",801, 896e9fcad7071baf81e000c332ca68e1,1.749,,, 
oc167,/about/infooc/news/ctyconnect,,200, OK, Indexable,,"Orange County,  California - County Connection Newsletter ",291, 2b07761eb11cd17da78be6f0a8bb7e4c,1.627,,, 
oc168,/about/infooc/news/press/details?NewsID=969&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",811, cb496ee9f80224ad7cb6df6e237884a9,1.563,,, 
oc169,/news?NewsID=2332&TargetID=1,,200, OK, Indexable,,"Orange County,  California - News ",2453, 5181257caffdda0378604b3e4762004e,1.758,,, 
oc170,/about/infooc/news/press/details?NewsID=963&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",363, 4f081277bba32dbe44386b4ec70c1e23,1.409,,, 
oc171,/about/infooc/news/press/details?NewsID=966&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",855, 690ddebe411aabb8070a0c4da0d3c3e1,0.95,,, 
oc172,/about/infooc/news/press/details?NewsID=964&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",518, 290d42f759e3376d938bf99a222df19f,1.222,,, 
oc173,/about/infooc/news/press/details?NewsID=849&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",499, 2b8275e6cab8dbec694726dbc9b515b5,1.296,,, 
oc174,/about/infooc/news/press/details?NewsID=845&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",613, 8371df2c0d753e05bc627e650591ece5,1.561,,, 
oc175,/about/infooc/news/press/details?NewsID=867&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",424, e55a16277f7f8d1001cd397a4a265424,1.456,,, 
oc176,/about/infooc/news/press/details?NewsID=848&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",447, bb5b469c93c1e22b36393e0b8a21333b,1.311,,, 
oc177,/about/infooc/news/press/details?NewsID=861&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",408, a8c4336412848dfde4f41f9afc69b42b,1.266,,, 
oc178,/about/infooc/news/press/details?NewsID=846&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",717, 3650e2bc129fb25002ffe4bfd01ef973,0.814,,, 
oc179,/about/infooc/news/press/details?NewsID=868&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",524, 82a53db610a9bd95fb3b6cbb6ac94399,1.101,,, 
oc180,/about/infooc/news/press/details?NewsID=982&TargetID=93,,200, OK, Indexable,,"Orange County,  California - Press Releases ",463, f5c6642c3cd1adc36e51063c3f0a8128,1.227,,, 
